Station name,Station ID
501,Hanasaari
503,Keilalahti
505,Westendinasema
507,Golfpolku
509,Revontulentie
511,Sateentie
513,Hakalehto
515,Oravannahkatori
517,Länsituuli
518,Tuulimäki
519,Tapionaukio
521,Kulttuuriaukio
523,Ahertajantie
525,Mäntyviita
527,Otsolahti
529,Keilaniemi (M)
531,Keilaranta
532,Betonimies
533,Tekniikantie
537,Innopoli
538,Hagalundinpuisto
539,Aalto-yliopisto (M); Tietot
541,Aalto-yliopisto (M); Korkea
543,Otaranta
545,Sähkömies
547,Jämeräntaival
549,Maarinranta
551,Tietäjä
553,Metsänneidonpolku
555,Kalevalantie
557,Louhentori
559,Pohjankulma
561,Koivu-Mankkaa
563,Mankkaanlaaksontie
565,Mankkaanaukio
571,Tapiolan urheilupuisto
573,Urheilupuisto (M)
575,Tontunmäentie
577,Olarinluoma
579,Niittymaa
581,Niittykumpu (M)
583,Haukilahdenkatu
585,Haukilahdenaukio
587,Hauenkallio
589,Haukilahdenranta
591,Mellstenintie
593,Toppelundintie
595,Westendintie
596,Toppelundinportti
597,Linnakepolku
601,Nokkala
603,Matinlahdenranta
607,Nuottaniementie
609,Sepetlahdentie
611,Matinkartanontie
613,Matinkyläntie
615,Tiistiläntie
617,Tiistinkallio
619,Etuniementie
621,Hauenkalliontie
623,Nelikkotie
625,Suomenlahdentie
627,Piispansilta
629,Piispanportti
631,Friisilänaukio
633,Avaruuskatu
635,Kuunkatu
637,Ruomelantie
639,Itäportti
641,Komeetankatu
643,Auringonkatu
645,Piispankallio
647,Lystimäki
649,Lystimäensilta
651,Suurpellonaukio
653,Lukutori
701,Gallen-Kallelan tie
703,Elfvik
705,Laajalahden keskus
707,Majurinkulma
709,Yhdyskunnankuja
711,Kirjurinkuja
713,Upseerinkatu
715,Komentajankatu
719,Säteri
721,Säterinrinne
723,Säterinniitty
725,Rummunlyöjänkatu
727,Ratsutori
729,Leppävaaranaukio
731,Leppävaarankäytävä
733,Läkkitori
735,Armas Launiksen katu
737,Muurarinkuja
739,Postipuun koulu
741,Gransinmäki
745,Leppävaaran urheilupuisto
747,Leppävaaran uimahalli
749,Vallikatu
751,Vallipolku
753,Linnuntie
755,Kutsuntatie
757,Painiitty
761,Mäkkylän asema
763,Kalkkipellonmäki
767,Ruutikatu
769,Tiurintie
900,Orionintie
901,O'Bike Station
902,Derby Business Park
001,Kaivopuisto
002,Laivasillankatu
003,Kapteeninpuistikko
004,Viiskulma
005,Sepänkatu
006,Hietalahdentori
007,Designmuseo
008,Vanha kirkkopuisto
009,Erottajan aukio
010,Kasarmitori
011,Unioninkatu
012,Kanavaranta
013,Merisotilaantori
014,Senaatintori
015,Ritarikatu
016,Liisanpuistikko
017,Varsapuistikko
018,Porthania
019,Rautatientori - itä
020,Kaisaniemenpuisto
021,Töölönlahdenkatu
022,Rautatientori - länsi
023,Kiasma
024,Mannerheimintie
025,Narinkka
026,Kamppi (M)
027,Eerikinkatu
028,Lastenlehto
029,Baana
030,Itämerentori
031,Marian sairaala
032,Eläinmuseo
033,Kauppakorkeakoulu
034,Kansallismuseo
035,Cygnaeuksenkatu
036,Apollonkatu
037,Töölönkatu
038,Töölöntori
039,Ooppera
040,Hakaniemi (M)
041,Ympyrätalo
042,Haapaniemenkatu
043,Karhupuisto
044,Sörnäinen (M)
045,Brahen kenttä
046,Diakoniapuisto
047,Vanha Kauppahalli
048,Mastokatu
049,Annankatu
050,Melkonkuja
051,Itälahdenkatu
052,Heikkilänaukio
053,Heikkiläntie
054,Gyldenintie
055,Puistokaari
056,Luoteisväylä
057,Lauttasaaren ostoskeskus
058,Lauttasaarensilta
059,Salmisaarenranta
060,Kaapelitehdas
061,Länsisatamankatu
062,Välimerenkatu
063,Jätkäsaarenlaituri
064,Tyynenmerenkatu
065,Hernesaarenranta
066,Ehrenströmintie
067,Perämiehenkatu
068,Albertinkatu
069,Kalevankatu
070,Sammonpuistikko
071,Hietaniemenkatu
072,Eteläinen Hesperiankatu
073,Kesäkatu
074,Rajasaarentie
075,Korjaamo
076,Olympiastadion
077,Nordenskiöldinaukio
078,Messeniuksenkatu
079,Uimastadion
080,Jäähalli
081,Stenbäckinkatu
082,Töölöntulli
083,Meilahden sairaala
084,Paciuksenkatu
085,Jalavatie
086,Kuusitie
087,Kustaankatu
088,Kiskontie
089,Tilkanvierto
090,Paciuksenkaari
091,Seurasaari
092,Saunalahdentie
093,Torpanranta
094,Laajalahden aukio
095,Munkkiniemen aukio
096,Huopalahdentie
098,Ulvilantie
099,Muusantori
100,Teljäntie
101,Munkkivuoren ostoskeskus
103,Vihdintie
104,Kriikunakuja
105,Tilkantori
106,Korppaanmäentie
107,Tenholantie
108,Radiokatu
109,Hertanmäenkatu
110,Maistraatintori
111,Esterinportti
112,Rautatieläisenkatu
113,Pasilan asema
114,Ratapihantie
115,Venttiilikuja
116,Linnanmäki
117,Brahen puistikko
118,Fleminginkatu
119,Gebhardinaukio
120,Mäkelänkatu
121,Vilhonvuorenkatu
122,Lintulahdenkatu
123,Näkinsilta
124,Isoisänsilta
